idx;pitch;tsr;Cp;Ct;Cq;dCqdpitch;dCqdtsr;stall
172;-2.50;3.75;0.156237;0.538169;0.041663;0.017811;0.003635;1
173;-2.50;4.00;0.184229;0.575157;0.046057;0.017164;0.003785;1
174;-2.50;4.25;0.213541;0.612757;0.050245;0.016719;0.003957;1
175;-2.50;4.50;0.244874;0.651632;0.054417;0.016784;0.004219;1
176;-2.50;4.75;0.278526;0.691299;0.058637;0.017349;0.004521;1
177;-2.50;5.00;0.315456;0.732304;0.063091;0.018089;0.004883;1
178;-2.50;5.25;0.355327;0.775801;0.067681;0.018172;0.004974;1
179;-2.50;5.50;0.396975;0.827841;0.072177;0.014900;0.004344;1
180;-2.50;5.75;0.432004;0.883809;0.075131;0.006036;0.002133;1
181;-2.50;6.00;0.451171;0.926121;0.075195;-0.003189;0.000334;1
182;-2.50;6.25;0.459603;0.956163;0.073537;-0.008177;-0.000055;0
183;-2.50;6.50;0.462195;0.980904;0.071107;-0.010605;0.000096;1
184;-2.50;6.75;0.460581;1.001324;0.068234;-0.012294;0.000411;1
185;-2.50;7.00;0.454720;1.018083;0.064960;-0.013461;0.000649;1
186;-2.50;7.25;0.445901;1.032656;0.061504;-0.013726;0.000840;1
187;-2.50;7.50;0.435727;1.047279;0.058097;-0.013241;0.000927;1
188;-2.50;7.75;0.425343;1.062510;0.054883;-0.012367;0.001100;1
189;-2.50;8.00;0.415307;1.078539;0.051913;-0.011377;0.001361;1
190;-2.50;8.25;0.405853;1.095514;0.049194;-0.010449;0.001652;1
191;-2.50;8.50;0.396854;1.113376;0.046689;-0.009762;0.001916;1
192;-2.50;8.75;0.387743;1.131693;0.044314;-0.009366;0.002102;1
193;-2.50;9.00;0.378053;1.150117;0.042006;-0.009122;0.002248;1
194;-2.50;9.25;0.367709;1.168592;0.039752;-0.008897;0.002400;1
195;-2.50;9.50;0.356794;1.187237;0.037557;-0.008666;0.002564;1
196;-2.50;9.75;0.345339;1.206097;0.035419;-0.008454;0.002733;1
197;-2.50;10.00;0.333303;1.225171;0.033330;-0.008356;0.002900;1
198;-2.00;2.00;0.016646;0.323432;0.008323;0.014202;0.001868;1
199;-2.00;2.25;0.026715;0.343152;0.011873;0.016553;0.002407;1
200;-2.00;2.50;0.041499;0.368790;0.016600;0.021002;0.003121;1
201;-2.00;2.75;0.061530;0.399660;0.022375;0.023491;0.003591;1
202;-2.00;3.00;0.085034;0.433354;0.028345;0.023128;0.003665;1
203;-2.00;3.25;0.110300;0.467891;0.033938;0.021065;0.003542;1
204;-2.00;3.50;0.136071;0.502213;0.038877;0.019057;0.003397;1
205;-2.00;3.75;0.163000;0.537326;0.043467;0.018082;0.003572;1
206;-2.00;4.00;0.191672;0.573770;0.047918;0.017475;0.003673;1
207;-2.00;4.25;0.221868;0.610844;0.052204;0.017145;0.003866;1
208;-2.00;4.50;0.254207;0.648952;0.056490;0.017357;0.004084;1
