idx;pitch;tsr;Cp;Ct;Cq
309;34.470000;7.684000;-0.662234;-0.434826;-0.086690
310;34.470000;8.316000;-0.816482;-0.509359;-0.098764
311;34.470000;8.947000;-0.993282;-0.589217;-0.111669
312;34.470000;9.579000;-1.194694;-0.674592;-0.125457
313;34.470000;10.210000;-1.422529;-0.765484;-0.140142
314;34.470000;10.840000;-1.678629;-0.861958;-0.155739
315;34.470000;11.470000;-1.964822;-0.964077;-0.172257
316;34.470000;12.110000;-2.282902;-1.071877;-0.189701
317;34.470000;12.740000;-2.634632;-1.185368;-0.208073
318;34.470000;13.370000;-3.021755;-1.304542;-0.227371
319;34.470000;14.000000;-3.446005;-1.429376;-0.247597
320;37.110000;2.000000;0.029036;0.033830;0.014604
321;37.110000;2.632000;-0.000877;0.003314;-0.000335
322;37.110000;3.263000;-0.052318;-0.044874;-0.016128
323;37.110000;3.895000;-0.109352;-0.092859;-0.028243
324;37.110000;4.526000;-0.171841;-0.139063;-0.038189
325;37.110000;5.158000;-0.247672;-0.189941;-0.048302
326;37.110000;5.789000;-0.337440;-0.244471;-0.058629
327;37.110000;6.421000;-0.442593;-0.302045;-0.069335
328;37.110000;7.053000;-0.566739;-0.363861;-0.080833
329;37.110000;7.684000;-0.713574;-0.431112;-0.093411
330;37.110000;8.316000;-0.886063;-0.504325;-0.107181
331;37.110000;8.947000;-1.086290;-0.583322;-0.122126
332;37.110000;9.579000;-1.316095;-0.667767;-0.138206
333;37.110000;10.210000;-1.577451;-0.757471;-0.155405
334;37.110000;10.840000;-1.872403;-0.852346;-0.173717
335;37.110000;11.470000;-2.202969;-0.952326;-0.193136
336;37.110000;12.110000;-2.571085;-1.057314;-0.213648
337;37.110000;12.740000;-2.978667;-1.167216;-0.235243
338;37.110000;13.370000;-3.427648;-1.281949;-0.257913
339;37.110000;14.000000;-3.919962;-1.401451;-0.281651
340;39.740000;2.000000;0.019157;0.023082;0.009635
341;39.740000;2.632000;-0.018725;-0.014314;-0.007158
342;39.740000;3.263000;-0.069329;-0.059424;-0.021371
343;39.740000;3.895000;-0.123217;-0.101163;-0.031824
344;39.740000;4.526000;-0.188440;-0.146045;-0.041878
345;39.740000;5.158000;-0.266413;-0.193388;-0.051956
346;39.740000;5.789000;-0.361077;-0.244101;-0.062736
347;39.740000;6.421000;-0.477339;-0.299730;-0.074779
348;39.740000;7.053000;-0.618765;-0.360658;-0.088253
349;39.740000;7.684000;-0.787600;-0.426500;-0.103101
350;39.740000;8.316000;-0.985630;-0.496794;-0.119225
351;39.740000;8.947000;-1.214677;-0.571235;-0.136560
352;39.740000;9.579000;-1.476528;-0.649587;-0.155053
353;39.740000;10.210000;-1.773037;-0.731784;-0.174673
354;39.740000;10.840000;-2.106073;-0.817819;-0.195396
355;39.740000;11.470000;-2.477562;-0.907659;-0.217209
356;39.740000;12.110000;-2.889486;-1.001243;-0.240106
357;39.740000;12.740000;-3.343918;-1.098497;-0.264089
358;39.740000;13.370000;-3.842988;-1.199349;-0.289165
359;39.740000;14.000000;-4.388970;-1.303747;-0.315349
360;42.370000;2.000000;0.008446;0.011743;0.004248
361;42.370000;2.632000;-0.033888;-0.028621;-0.012954
362;42.370000;3.263000;-0.080611;-0.067532;-0.024849
363;42.370000;3.895000;-0.135333;-0.106919;-0.034953
364;42.370000;4.526000;-0.202090;-0.148219;-0.044911
365;42.370000;5.158000;-0.286681;-0.192972;-0.055909
366;42.370000;5.789000;-0.393459;-0.241503;-0.068362
367;42.370000;6.421000;-0.524911;-0.293731;-0.082231
368;42.370000;7.053000;-0.682470;-0.349462;-0.097340
369;42.370000;7.684000;-0.867515;-0.408585;-0.113562
370;42.370000;8.316000;-1.082210;-0.471036;-0.130908
371;42.370000;8.947000;-1.328998;-0.536503;-0.149412
372;42.370000;9.579000;-1.610379;-0.604626;-0.169109
373;42.370000;10.210000;-1.929044;-0.675122;-0.190043
374;42.370000;10.840000;-2.288499;-0.747911;-0.212321
375;42.370000;11.470000;-2.692792;-0.823084;-0.236079
376;42.370000;12.110000;-3.146140;-0.900771;-0.261433
377;42.370000;12.740000;-3.652816;-0.981112;-0.288485
378;42.370000;13.370000;-4.217100;-1.064239;-0.317315
379;42.370000;14.000000;-4.843093;-1.150254;-0.347978
380;45.000000;2.000000;-0.002755;0.000250;-0.001385
381;45.000000;2.632000;-0.044500;-0.037858;-0.017010
382;45.000000;3.263000;-0.089918;-0.073059;-0.027718
383;45.000000;3.895000;-0.145575;-0.109138;-0.037598
384;45.000000;4.526000;-0.218450;-0.147827;-0.048547
385;45.000000;5.158000;-0.311430;-0.188549;-0.060736
386;45.000000;5.789000;-0.426107;-0.231957;-0.074035
387;45.000000;6.421000;-0.565339;-0.278588;-0.088564
388;45.000000;7.053000;-0.732169;-0.327732;-0.104428
389;45.000000;7.684000;-0.929642;-0.378658;-0.121695
390;45.000000;8.316000;-1.161646;-0.430879;-0.140516
391;45.000000;8.947000;-1.433710;-0.484343;-0.161184
392;45.000000;9.579000;-1.752233;-0.539215;-0.184006
393;45.000000;10.210000;-2.123730;-0.595778;-0.209222
394;45.000000;10.840000;-2.553238;-0.654499;-0.236883
395;45.000000;11.470000;-3.044259;-0.715810;-0.266892
396;45.000000;12.110000;-3.599615;-0.779983;-0.299115
397;45.000000;12.740000;-4.221737;-0.847144;-0.333416
398;45.000000;13.370000;-4.912785;-0.917284;-0.369662
399;45.000000;14.000000;-5.674879;-0.990321;-0.407742
